"start","end","keyword","hits","location"
2015-03-15,2015-03-21,"Gerhard Richter",59,"World"
2015-03-22,2015-03-28,"Gerhard Richter",72,"World"
2015-03-29,2015-04-04,"Gerhard Richter",65,"World"
2015-04-05,2015-04-11,"Gerhard Richter",56,"World"
2015-04-12,2015-04-18,"Gerhard Richter",52,"World"
2015-04-19,2015-04-25,"Gerhard Richter",71,"World"
2015-04-26,2015-05-02,"Gerhard Richter",55,"World"
2015-05-03,2015-05-09,"Gerhard Richter",55,"World"
2015-05-10,2015-05-16,"Gerhard Richter",48,"World"
2015-05-17,2015-05-23,"Gerhard Richter",43,"World"
2015-05-24,2015-05-30,"Gerhard Richter",33,"World"
2015-05-31,2015-06-06,"Gerhard Richter",37,"World"
2015-06-07,2015-06-13,"Gerhard Richter",38,"World"
2015-06-14,2015-06-20,"Gerhard Richter",41,"World"
2015-06-21,2015-06-27,"Gerhard Richter",42,"World"
2015-06-28,2015-07-04,"Gerhard Richter",39,"World"
2015-07-05,2015-07-11,"Gerhard Richter",56,"World"
2015-07-12,2015-07-18,"Gerhard Richter",64,"World"
2015-07-19,2015-07-25,"Gerhard Richter",32,"World"
2015-07-26,2015-08-01,"Gerhard Richter",36,"World"
2015-08-02,2015-08-08,"Gerhard Richter",34,"World"
2015-08-09,2015-08-15,"Gerhard Richter",44,"World"
2015-08-16,2015-08-22,"Gerhard Richter",41,"World"
2015-08-23,2015-08-29,"Gerhard Richter",36,"World"
2015-08-30,2015-09-05,"Gerhard Richter",34,"World"
2015-09-06,2015-09-12,"Gerhard Richter",50,"World"
2015-09-13,2015-09-19,"Gerhard Richter",47,"World"
2015-09-20,2015-09-26,"Gerhard Richter",46,"World"
2015-09-27,2015-10-03,"Gerhard Richter",51,"World"
2015-10-04,2015-10-10,"Gerhard Richter",50,"World"
2015-10-11,2015-10-17,"Gerhard Richter",55,"World"
2015-10-18,2015-10-24,"Gerhard Richter",48,"World"
2015-10-25,2015-10-31,"Gerhard Richter",44,"World"
2015-11-01,2015-11-07,"Gerhard Richter",42,"World"
2015-11-08,2015-11-14,"Gerhard Richter",47,"World"
2015-11-15,2015-11-21,"Gerhard Richter",58,"World"
2015-11-22,2015-11-28,"Gerhard Richter",48,"World"
2015-11-29,2015-12-05,"Gerhard Richter",48,"World"
2015-12-06,2015-12-12,"Gerhard Richter",46,"World"
2015-12-13,2015-12-19,"Gerhard Richter",40,"World"
2015-12-20,2015-12-26,"Gerhard Richter",54,"World"
2015-12-27,2016-01-02,"Gerhard Richter",52,"World"
2016-01-03,2016-01-09,"Gerhard Richter",51,"World"
2016-01-10,2016-01-16,"Gerhard Richter",48,"World"
2016-01-17,2016-01-23,"Gerhard Richter",57,"World"
2016-01-24,2016-01-30,"Gerhard Richter",56,"World"
2016-01-31,2016-02-06,"Gerhard Richter",51,"World"
2015-01-04,2015-01-10,"Mark Rothko",37,"World"
2015-01-11,2015-01-17,"Mark Rothko",48,"World"
2015-01-18,2015-01-24,"Mark Rothko",43,"World"
2015-01-25,2015-01-31,"Mark Rothko",40,"World"
2015-02-01,2015-02-07,"Mark Rothko",43,"World"
2015-02-08,2015-02-14,"Mark Rothko",56,"World"
2015-02-15,2015-02-21,"Mark Rothko",51,"World"
2015-02-22,2015-02-28,"Mark Rothko",64,"World"
2015-03-01,2015-03-07,"Mark Rothko",51,"World"
2015-03-08,2015-03-14,"Mark Rothko",55,"World"
2015-03-15,2015-03-21,"Mark Rothko",30,"World"
2015-03-22,2015-03-28,"Mark Rothko",52,"World"
2015-03-29,2015-04-04,"Mark Rothko",54,"World"
2015-04-05,2015-04-11,"Mark Rothko",53,"World"
2015-04-12,2015-04-18,"Mark Rothko",47,"World"
2015-04-19,2015-04-25,"Mark Rothko",49,"World"
2015-04-26,2015-05-02,"Mark Rothko",54,"World"
2015-05-03,2015-05-09,"Mark Rothko",40,"World"
2015-05-10,2015-05-16,"Mark Rothko",100,"World"
2015-05-17,2015-05-23,"Mark Rothko",87,"World"
2015-05-24,2015-05-30,"Mark Rothko",60,"World"
2015-05-31,2015-06-06,"Mark Rothko",46,"World"
2015-06-07,2015-06-13,"Mark Rothko",36,"World"
2015-06-14,2015-06-20,"Mark Rothko",40,"World"
2015-06-21,2015-06-27,"Mark Rothko",37,"World"
2015-06-28,2015-07-04,"Mark Rothko",26,"World"
2015-07-05,2015-07-11,"Mark Rothko",35,"World"
2015-07-12,2015-07-18,"Mark Rothko",38,"World"
2015-07-19,2015-07-25,"Mark Rothko",45,"World"
2015-07-26,2015-08-01,"Mark Rothko",35,"World"
2015-08-02,2015-08-08,"Mark Rothko",32,"World"
2015-08-09,2015-08-15,"Mark Rothko",41,"World"
2015-08-16,2015-08-22,"Mark Rothko",32,"World"
2015-08-23,2015-08-29,"Mark Rothko",32,"World"
2015-08-30,2015-09-05,"Mark Rothko",47,"World"
2015-09-06,2015-09-12,"Mark Rothko",42,"World"
2015-09-13,2015-09-19,"Mark Rothko",39,"World"
2015-09-20,2015-09-26,"Mark Rothko",65,"World"
2015-09-27,2015-10-03,"Mark Rothko",48,"World"
2015-10-04,2015-10-10,"Mark Rothko",45,"World"
2015-10-11,2015-10-17,"Mark Rothko",41,"World"
2015-10-18,2015-10-24,"Mark Rothko",32,"World"
2015-10-25,2015-10-31,"Mark Rothko",51,"World"
2015-11-01,2015-11-07,"Mark Rothko",42,"World"
2015-11-08,2015-11-14,"Mark Rothko",46,"World"
2015-11-15,2015-11-21,"Mark Rothko",43,"World"
2015-11-22,2015-11-28,"Mark Rothko",50,"World"
2015-11-29,2015-12-05,"Mark Rothko",44,"World"
2015-12-06,2015-12-12,"Mark Rothko",47,"World"
2015-12-13,2015-12-19,"Mark Rothko",37,"World"
2015-12-20,2015-12-26,"Mark Rothko",30,"World"
2015-12-27,2016-01-02,"Mark Rothko",39,"World"
2016-01-03,2016-01-09,"Mark Rothko",44,"World"
2016-01-10,2016-01-16,"Mark Rothko",35,"World"
2016-01-17,2016-01-23,"Mark Rothko",53,"World"
2016-01-24,2016-01-30,"Mark Rothko",100,"World"
2016-01-31,2016-02-06,"Mark Rothko",57,"World"
2015-01-04,2015-01-10,"Alberto Giacometti",32,"World"
2015-01-11,2015-01-17,"Alberto Giacometti",31,"World"
2015-01-18,2015-01-24,"Alberto Giacometti",33,"World"
2015-01-25,2015-01-31,"Alberto Giacometti",28,"World"
2015-02-01,2015-02-07,"Alberto Giacometti",30,"World"
2015-02-08,2015-02-14,"Alberto Giacometti",22,"World"
2015-02-15,2015-02-21,"Alberto Giacometti",32,"World"
2015-02-22,2015-02-28,"Alberto Giacometti",27,"World"
2015-03-01,2015-03-07,"Alberto Giacometti",27,"World"
2015-03-08,2015-03-14,"Alberto Giacometti",36,"World"
2015-03-15,2015-03-21,"Alberto Giacometti",30,"World"
2015-03-22,2015-03-28,"Alberto Giacometti",27,"World"
2015-03-29,2015-04-04,"Alberto Giacometti",37,"World"
2015-04-05,2015-04-11,"Alberto Giacometti",27,"World"
2015-04-12,2015-04-18,"Alberto Giacometti",35,"World"
2015-04-19,2015-04-25,"Alberto Giacometti",39,"World"
2015-04-26,2015-05-02,"Alberto Giacometti",37,"World"
2015-05-03,2015-05-09,"Alberto Giacometti",32,"World"
2015-05-10,2015-05-16,"Alberto Giacometti",100,"World"
2015-05-17,2015-05-23,"Alberto Giacometti",33,"World"
2015-05-24,2015-05-30,"Alberto Giacometti",21,"World"
2015-05-31,2015-06-06,"Alberto Giacometti",32,"World"
2015-06-07,2015-06-13,"Alberto Giacometti",42,"World"
2015-06-14,2015-06-20,"Alberto Giacometti",32,"World"
2015-06-21,2015-06-27,"Alberto Giacometti",22,"World"
2015-06-28,2015-07-04,"Alberto Giacometti",17,"World"
2015-07-05,2015-07-11,"Alberto Giacometti",18,"World"
2015-07-12,2015-07-18,"Alberto Giacometti",10,"World"
2015-07-19,2015-07-25,"Alberto Giacometti",12,"World"
2015-07-26,2015-08-01,"Alberto Giacometti",17,"World"
2015-08-02,2015-08-08,"Alberto Giacometti",10,"World"
2015-08-09,2015-08-15,"Alberto Giacometti",10,"World"
2015-08-16,2015-08-22,"Alberto Giacometti",22,"World"
2015-08-23,2015-08-29,"Alberto Giacometti",21,"World"
2015-08-30,2015-09-05,"Alberto Giacometti",23,"World"
2015-09-06,2015-09-12,"Alberto Giacometti",30,"World"
2015-09-13,2015-09-19,"Alberto Giacometti",25,"World"
2015-09-20,2015-09-26,"Alberto Giacometti",34,"World"
2015-09-27,2015-10-03,"Alberto Giacometti",38,"World"
2015-10-04,2015-10-10,"Alberto Giacometti",28,"World"
2015-10-11,2015-10-17,"Alberto Giacometti",38,"World"
2015-10-18,2015-10-24,"Alberto Giacometti",34,"World"
2015-10-25,2015-10-31,"Alberto Giacometti",25,"World"
2015-11-01,2015-11-07,"Alberto Giacometti",29,"World"
2015-11-08,2015-11-14,"Alberto Giacometti",36,"World"
2015-11-15,2015-11-21,"Alberto Giacometti",26,"World"
2015-11-22,2015-11-28,"Alberto Giacometti",38,"World"
2015-11-29,2015-12-05,"Alberto Giacometti",28,"World"
2015-12-06,2015-12-12,"Alberto Giacometti",39,"World"
2015-12-13,2015-12-19,"Alberto Giacometti",23,"World"
2015-12-20,2015-12-26,"Alberto Giacometti",13,"World"
2015-12-27,2016-01-02,"Alberto Giacometti",11,"World"
2016-01-03,2016-01-09,"Alberto Giacometti",27,"World"
2016-01-10,2016-01-16,"Alberto Giacometti",46,"World"
2016-01-17,2016-01-23,"Alberto Giacometti",33,"World"
2016-01-24,2016-01-30,"Alberto Giacometti",30,"World"
2016-01-31,2016-02-06,"Alberto Giacometti",25,"World"
2015-01-04,2015-01-10,"Amedeo Modigliani",18,"World"
2015-01-11,2015-01-17,"Amedeo Modigliani",18,"World"
2015-01-18,2015-01-24,"Amedeo Modigliani",13,"World"
2015-01-25,2015-01-31,"Amedeo Modigliani",17,"World"
2015-02-01,2015-02-07,"Amedeo Modigliani",14,"World"
2015-02-08,2015-02-14,"Amedeo Modigliani",14,"World"
2015-02-15,2015-02-21,"Amedeo Modigliani",17,"World"
2015-02-22,2015-02-28,"Amedeo Modigliani",6,"World"
2015-03-01,2015-03-07,"Amedeo Modigliani",9,"World"
2015-03-08,2015-03-14,"Amedeo Modigliani",13,"World"
2015-03-15,2015-03-21,"Amedeo Modigliani",14,"World"
2015-03-22,2015-03-28,"Amedeo Modigliani",16,"World"
2015-03-29,2015-04-04,"Amedeo Modigliani",9,"World"
2015-04-05,2015-04-11,"Amedeo Modigliani",13,"World"
2015-04-12,2015-04-18,"Amedeo Modigliani",14,"World"
2015-04-19,2015-04-25,"Amedeo Modigliani",10,"World"
2015-04-26,2015-05-02,"Amedeo Modigliani",15,"World"
2015-05-03,2015-05-09,"Amedeo Modigliani",16,"World"
2015-05-10,2015-05-16,"Amedeo Modigliani",15,"World"
2015-05-17,2015-05-23,"Amedeo Modigliani",15,"World"
2015-05-24,2015-05-30,"Amedeo Modigliani",16,"World"
2015-05-31,2015-06-06,"Amedeo Modigliani",10,"World"
2015-06-07,2015-06-13,"Amedeo Modigliani",12,"World"
2015-06-14,2015-06-20,"Amedeo Modigliani",10,"World"
2015-06-21,2015-06-27,"Amedeo Modigliani",9,"World"
2015-06-28,2015-07-04,"Amedeo Modigliani",5,"World"
2015-07-05,2015-07-11,"Amedeo Modigliani",6,"World"
2015-07-12,2015-07-18,"Amedeo Modigliani",19,"World"
2015-07-19,2015-07-25,"Amedeo Modigliani",7,"World"
2015-07-26,2015-08-01,"Amedeo Modigliani",6,"World"
2015-08-02,2015-08-08,"Amedeo Modigliani",8,"World"
2015-08-09,2015-08-15,"Amedeo Modigliani",8,"World"
2015-08-16,2015-08-22,"Amedeo Modigliani",11,"World"
2015-08-23,2015-08-29,"Amedeo Modigliani",10,"World"
2015-08-30,2015-09-05,"Amedeo Modigliani",19,"World"
2015-09-06,2015-09-12,"Amedeo Modigliani",14,"World"
2015-09-13,2015-09-19,"Amedeo Modigliani",13,"World"
2015-09-20,2015-09-26,"Amedeo Modigliani",11,"World"
2015-09-27,2015-10-03,"Amedeo Modigliani",15,"World"
2015-10-04,2015-10-10,"Amedeo Modigliani",17,"World"
2015-10-11,2015-10-17,"Amedeo Modigliani",12,"World"
2015-10-18,2015-10-24,"Amedeo Modigliani",15,"World"
2015-10-25,2015-10-31,"Amedeo Modigliani",16,"World"
2015-11-01,2015-11-07,"Amedeo Modigliani",14,"World"
2015-11-08,2015-11-14,"Amedeo Modigliani",100,"World"
2015-11-15,2015-11-21,"Amedeo Modigliani",29,"World"
2015-11-22,2015-11-28,"Amedeo Modigliani",22,"World"
2015-11-29,2015-12-05,"Amedeo Modigliani",18,"World"
2015-12-06,2015-12-12,"Amedeo Modigliani",11,"World"
2015-12-13,2015-12-19,"Amedeo Modigliani",10,"World"
